2021.05.05 05:52:08 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2021.05.05 05:52:12 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2021.05.05 05:52:15 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2021.05.05 05:52:18 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 8.8.0.42792 / 8ea4b78e406a28fece1dbce33ae74e87c26f59ed
2021.05.05 05:52:18 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:postgresql://sonarqube-db:5432/sonar
2021.05.05 05:52:24 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2021.05.05 05:52:24 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin C# Code Quality and Security / 8.19.0.28253 / 43bcae4fd8532e1edd55c8e7af3357431bbd7240
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin CSS Code Quality and Security / 1.4.0.1899 / 00c77dfd101c06a6181f0c3f024957a42eba9b8e
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Flex Code Quality and Security / 2.6.0.2294 / 64746e0c588ddd44f3216ae1ee02a01bcf6b2dac
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Go Code Quality and Security / 1.8.2.1946 / e5d905c22abff18761b80fa66a2d92c2aeb6dcf7
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin HTML Code Quality and Security / 3.3.0.2534 / 18c0ca03dae915ebe9bc9bd71345b3290db1d5a5
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JaCoCo / 1.1.0.898 / f65b288e6c2888393bd7fb72ad7ac1425f88eebf
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Java Code Quality and Security / 6.14.0.25463 / b79132dcad3a5774922be73bdfbf455fdb8a66ff
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JavaScript/TypeScript Code Quality and Security / 7.3.0.15071 / 62d9b763a54933850abed9c51c088e5c456fe963
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Kotlin Code Quality and Security / 1.8.2.1946 / e5d905c22abff18761b80fa66a2d92c2aeb6dcf7
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin PHP Code Quality and Security / 3.16.0.7320 / 20c2a2e768cf58fffb17816091f4c8f333bd2d1e
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Python Code Quality and Security / 3.4.0.7980 / ed304c18d2838aa56be0f734e975c497c56bb534
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Ruby Code Quality and Security / 1.8.2.1946 / e5d905c22abff18761b80fa66a2d92c2aeb6dcf7
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Scala Code Quality and Security / 1.8.2.1946 / e5d905c22abff18761b80fa66a2d92c2aeb6dcf7
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin VB.NET Code Quality and Security / 8.19.0.28253 / 43bcae4fd8532e1edd55c8e7af3357431bbd7240
2021.05.05 05:52:25 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin XML Code Quality and Security / 2.1.0.2861 / b718c01f1720379b8080d16437de4d9198a84683
2021.05.05 05:52:27 INFO  web[][o.s.s.p.d.m.c.PostgresCharsetHandler] Verify that database charset supports UTF8
2021.05.05 05:52:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@1b3a0d4 [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/components/update_key, ...]}]
2021.05.05 05:52:29 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2021.05.05 05:52:36 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2021.05.05 05:52:42 INFO  web[][o.s.s.e.IndexCreator] Index [metadatas] is read-only. Making it writable...
2021.05.05 05:52:44 INFO  web[][o.s.s.e.IndexCreator] Index [components] is read-only. Making it writable...
2021.05.05 05:52:44 INFO  web[][o.s.s.e.IndexCreator] Index [projectmeasures] is read-only. Making it writable...
2021.05.05 05:52:45 INFO  web[][o.s.s.e.IndexCreator] Index [rules] is read-only. Making it writable...
2021.05.05 05:52:45 INFO  web[][o.s.s.e.IndexCreator] Index [issues] is read-only. Making it writable...
2021.05.05 05:52:45 INFO  web[][o.s.s.e.IndexCreator] Index [users] is read-only. Making it writable...
2021.05.05 05:52:46 INFO  web[][o.s.s.e.IndexCreator] Index [views] is read-only. Making it writable...
2021.05.05 05:52:46 INFO  web[][o.s.s.s.LogServerId] Server ID: 9B767396-AXk5nYlVqel3Ba7MJyc2
2021.05.05 05:52:46 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_bitbucketserver_projects
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_azure_projects
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketserver_repos
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_azure_repos
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_github_organizations
2021.05.05 05:52:49 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_github_repositories
